config_type,n_plugins,median_time
single,0,0.963851
many-gr,0,0.960925
many-sep,0,0.966105
single,5,1.020889
many-gr,5,1.150854
many-sep,5,1.166884
single,10,1.102823
many-gr,10,1.293663
many-sep,10,1.288885
single,15,1.018934
many-gr,15,1.446342
many-sep,15,1.440701
single,20,1.016711
many-gr,20,1.591356
many-sep,20,1.592928
single,25,1.020852
many-gr,25,1.746519
many-sep,25,1.737757
single,30,1.017236
many-gr,30,1.895233
many-sep,30,1.892383
single,35,1.086873
many-gr,35,2.037826
many-sep,35,2.043992
single,40,1.019424
many-gr,40,2.207549
many-sep,40,2.196052
single,45,1.025358
many-gr,45,2.391439
many-sep,45,2.371016
single,50,1.017488
many-gr,50,2.520344
many-sep,50,2.513136
